pathway	S10	S112	S113	S114	S11	S12	S13	S15	S161	S162	S164	S165	S166	S167	S168	S169	S16	S170	S171	S172	S173	S174	S175	S176	S177	S179	S17	S182	S187	S188	S18	S191	S194	S196	S197	S198	S19	S1	S201	S202	S203	S204	S205	S206	S207	S208	S209	S20	S210	S213	S214	S215	S216	S217	S218	S219	S220	S221	S222	S223	S224	S225	S22	S23	S24	S25	S26	S27	S28	S2	S30	S34	S35	S36	S37	S3	S4	S5	S61	S62	S63	S65	S6	S7	S85	S86	S87	S88	S89	S9
ko00362	0.0	0.1579	0.1579	0.1579	0.1579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1579	0.0	0.0	0.1579	0.0	0.1579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3684	0.0	0.1579	0.0	0.0	0.1579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1579	0.3684	0.1579	0.0	0.0	0.3158	0.0	0.0	0.0	0.0	0.1579	0.0	0.0	0.0	0.0	0.0	0.0	0.1579	0.0	0.3684	0.0	0.0	0.0	0.5263	0.1579	0.0	0.0	0.0	0.0	0.0
ko00400	0.0	0.6452	0.6452	0.6452	0.6452	0.0	0.0	0.5806	0.0	0.0	0.0	0.0	0.0	0.0	0.5806	0.5806	0.6452	0.0	0.0	0.6452	0.0	0.6452	0.0	0.0	0.0	0.0	0.0	0.5806	0.0	0.0	0.0	0.0	0.0	0.0	1.2258	0.0	0.6452	0.0	0.0	0.6452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5806	0.0	0.6452	0.0	0.0	0.0	0.5806	0.5806	0.0	0.0	0.5806	0.0	0.6452	1.2258	0.6452	0.0	0.0	1.2903	1.1613	1.1613	1.1613	1.7419	0.6452	0.0	0.0	0.0	0.0	0.5806	0.5806	0.6452	0.0	1.2258	0.0	0.0	0.0	1.871	0.6452	0.5806	0.0	0.5806	0.0	1.7419
ko00440	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0714	0.0	0.0	0.0	0.0	0.0	0.0	0.0714	0.0714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0714	0.0	0.0	0.0	0.0	0.0	0.0	0.0714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0714	0.0	0.0	0.0	0.0	0.0	0.0714	0.0714	0.0	0.0	0.0714	0.0	0.0	0.0714	0.0	0.0	0.0	0.0	0.1429	0.1429	0.1429	0.2143	0.0	0.0	0.0	0.0	0.0	0.0714	0.0714	0.0	0.0	0.0714	0.0	0.0	0.0	0.0714	0.0	0.0714	0.0	0.0714	0.0	0.2143
ko00450	0.0	0.7333	0.7333	0.7333	0.7333	0.0	0.0	0.7333	0.0	0.0	0.0	0.0	0.0	0.0	0.7333	0.7333	0.7333	0.0	0.0	0.7333	0.0	0.7333	0.0	0.0	0.0	0.0	0.0	0.7333	0.0	0.0	0.0	0.0	0.0	0.0	1.4667	0.0	0.7333	0.0	0.0	0.7333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7333	0.0	0.7333	0.0	0.0	0.0	0.7333	0.7333	0.0	0.0	0.7333	0.0	0.7333	1.4667	0.7333	0.0	0.0	1.4667	1.4667	1.4667	1.4667	2.2	0.7333	0.0	0.0	0.0	0.0	0.7333	0.7333	0.7333	0.0	1.4667	0.0	0.0	0.0	2.2	0.7333	0.7333	0.0	0.7333	0.0	2.2
ko00471	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	2.0	1.0	0.0	0.0	2.0	2.0	2.0	2.0	3.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	3.0	1.0	1.0	0.0	1.0	0.0	3.0
ko00473	0.0	0.6667	0.6667	0.6667	0.6667	0.0	0.0	0.6667	0.0	0.0	0.0	0.0	0.0	0.0	0.6667	0.6667	0.6667	0.0	0.0	0.6667	0.0	0.6667	0.0	0.0	0.0	0.0	0.0	0.6667	0.0	0.0	0.0	0.0	0.0	0.0	1.3333	0.0	0.6667	0.0	0.0	0.6667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6667	0.0	0.6667	0.0	0.0	0.0	0.6667	0.6667	0.0	0.0	0.6667	0.0	0.6667	1.3333	0.6667	0.0	0.0	1.3333	1.3333	1.3333	1.3333	2.0	0.6667	0.0	0.0	0.0	0.0	0.6667	0.6667	0.6667	0.0	1.3333	0.0	0.0	0.0	2.0	0.6667	0.6667	0.0	0.6667	0.0	2.0
ko00480	0.0	0.2632	0.2632	0.2632	0.2632	0.0	0.0	0.7368	0.0	0.0	0.0	0.0	0.0	0.0	0.7368	0.7368	0.2632	0.0	0.0	0.2632	0.0	0.2632	0.0	0.0	0.0	0.0	0.0	0.7368	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.2632	0.0	0.0	0.2632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7368	0.0	0.2632	0.0	0.0	0.0	0.7368	0.7368	0.0	0.0	0.7368	0.0	0.2632	1.0	0.2632	0.0	0.0	0.5263	1.4737	1.4737	1.4737	2.2105	0.2632	0.0	0.0	0.0	0.0	0.7368	0.7368	0.2632	0.0	1.0	0.0	0.0	0.0	1.2632	0.2632	0.7368	0.0	0.7368	0.0	2.2105
ko00500	0.0	0.3	0.3	0.3	0.3	0.0	0.0	0.175	0.0	0.0	0.0	0.0	0.0	0.0	0.175	0.175	0.3	0.0	0.0	0.3	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.175	0.0	0.0	0.0	0.0	0.0	0.0	0.475	0.0	0.3	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.175	0.0	0.3	0.0	0.0	0.0	0.175	0.175	0.0	0.0	0.175	0.0	0.3	0.475	0.3	0.0	0.0	0.6	0.35	0.35	0.35	0.525	0.3	0.0	0.0	0.0	0.0	0.175	0.175	0.3	0.0	0.475	0.0	0.0	0.0	0.775	0.3	0.175	0.0	0.175	0.0	0.525
ko00520	0.0	0.4074	0.4074	0.4074	0.4074	0.0	0.0	0.2963	0.0	0.0	0.0	0.0	0.0	0.0	0.2963	0.2963	0.4074	0.0	0.0	0.4074	0.0	0.4074	0.0	0.0	0.0	0.0	0.0	0.2963	0.0	0.0	0.0	0.0	0.0	0.0	0.7037	0.0	0.4074	0.0	0.0	0.4074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2963	0.0	0.4074	0.0	0.0	0.0	0.2963	0.2963	0.0	0.0	0.2963	0.0	0.4074	0.7037	0.4074	0.0	0.0	0.8148	0.5926	0.5926	0.5926	0.8889	0.4074	0.0	0.0	0.0	0.0	0.2963	0.2963	0.4074	0.0	0.7037	0.0	0.0	0.0	1.1111	0.4074	0.2963	0.0	0.2963	0.0	0.8889
ko00521	0.0	0.5556	0.5556	0.5556	0.5556	0.0	0.0	0.7778	0.0	0.0	0.0	0.0	0.0	0.0	0.7778	0.7778	0.5556	0.0	0.0	0.5556	0.0	0.5556	0.0	0.0	0.0	0.0	0.0	0.7778	0.0	0.0	0.0	0.0	0.0	0.0	1.3333	0.0	0.5556	0.0	0.0	0.5556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7778	0.0	0.5556	0.0	0.0	0.0	0.7778	0.7778	0.0	0.0	0.7778	0.0	0.5556	1.3333	0.5556	0.0	0.0	1.1111	1.5556	1.5556	1.5556	2.3333	0.5556	0.0	0.0	0.0	0.0	0.7778	0.7778	0.5556	0.0	1.3333	0.0	0.0	0.0	1.8889	0.5556	0.7778	0.0	0.7778	0.0	2.3333
ko00540	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0667	0.0	0.0	0.0	0.0	0.0	0.0	1.0667	1.0667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0667	0.0	0.0	0.0	0.0	0.0	0.0	1.0667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0667	0.0	0.0	0.0	0.0	0.0	1.0667	1.0667	0.0	0.0	1.0667	0.0	0.0	1.0667	0.0	0.0	0.0	0.0	2.1333	2.1333	2.1333	3.2	0.0	0.0	0.0	0.0	0.0	1.0667	1.0667	0.0	0.0	1.0667	0.0	0.0	0.0	1.0667	0.0	1.0667	0.0	1.0667	0.0	3.2
ko00550	0.0	0.9474	0.9474	0.9474	0.9474	0.0	0.0	0.9474	0.0	0.0	0.0	0.0	0.0	0.0	0.9474	0.9474	0.9474	0.0	0.0	0.9474	0.0	0.9474	0.0	0.0	0.0	0.0	0.0	0.9474	0.0	0.0	0.0	0.0	0.0	0.0	1.7895	0.0	0.9474	0.0	0.0	0.9474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9474	0.0	0.9474	0.0	0.0	0.0	0.9474	0.9474	0.0	0.0	0.9474	0.0	0.9474	1.7895	0.9474	0.0	0.0	1.8947	1.8947	1.8947	1.8947	2.8421	0.9474	0.0	0.0	0.0	0.0	0.9474	0.9474	0.9474	0.0	1.7895	0.0	0.0	0.0	2.7368	0.9474	0.9474	0.0	0.9474	0.0	2.8421
ko00561	0.0	0.25	0.25	0.25	0.25	0.0	0.0	0.2188	0.0	0.0	0.0	0.0	0.0	0.0	0.2188	0.2188	0.25	0.0	0.0	0.25	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.2188	0.0	0.0	0.0	0.0	0.0	0.0	0.4688	0.0	0.25	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2188	0.0	0.25	0.0	0.0	0.0	0.2188	0.2188	0.0	0.0	0.2188	0.0	0.25	0.4688	0.25	0.0	0.0	0.5	0.4375	0.4375	0.4375	0.6562	0.25	0.0	0.0	0.0	0.0	0.2188	0.2188	0.25	0.0	0.4688	0.0	0.0	0.0	0.7188	0.25	0.2188	0.0	0.2188	0.0	0.6562
